nieobecność, brak:absence
obfitość, dostatek:abundance
akceptacja, przyjęcie:acceptance
osiągnięcie, dokonanie:accomplishment
zgodność:accordance
odpowiednio, w związku z tym:accordingly
nagromadzenie, akumulacja:accumulation
oskarżenie, zarzut:accusation
aktywacja, uruchomienie:activation
aktywista, działacz:activist
adaptacja, przystosowanie:adaptation
korekta, dostosowanie:adjustment
administrator, zarządca:administrator
wstęp, przyjęcie:admission
adopcja, przyjęcie:adoption
następstwa, skutki:aftermath
pomocnik, asystent:aide
chociaż, aczkolwiek:albeit
wyrównanie, zgodność:alignment
rzekomo, podobno:allegedly
