pochłaniać, wchłaniać:absorb
przypadkowo, niechcący:accidentally
pomieścić, zakwaterować:accommodate
osiągnąć, dokonać:accomplish
dostosować, regulować:adjust
całkowicie, w sumie:altogether
przewidywać, oczekiwać:anticipate
na bok, z boku:aside
przydzielać, wyznaczać:assign
oprócz, poza tym:besides
wzmocnić, wzrost:boost
szeroko, ogólnie:broadly
ścigać, pościg:chase
wiwatować, okrzyk radości:cheer
siekać, rąbać:chop
obejmować, składać się z:comprise
znacznie, wyraźnie:considerably
konsultować, zasięgnąć rady:consult
spożycie, konsumpcja:consumption
radzić sobie:cope
